Area,Selector / File / Location,Property / Rule,Current Value,Breakpoint,Notes,Disposition
HTML,coach-fogarty-portfolio/index.html:170 :: #media,section id and aria-label,"<section class=""media-section content-section"" id=""media"" aria-label=""Program media"">",all,Home Page Media section anchor and landmark.,Keep
HTML,coach-fogarty-portfolio/index.html:171 :: #media .section-label,eyebrow text,MEDIA,all,Visible section label above heading.,Keep
HTML,coach-fogarty-portfolio/index.html:172 :: #media h2,heading text,Program Moments,all,Section headline. Typography is heavily overridden in CSS.,Keep
HTML,coach-fogarty-portfolio/index.html:173 :: #galleryGrid,dynamic gallery mount,"<div class=""gallery-grid"" id=""galleryGrid""></div>",all,Cards are injected by app.js from mediaAlbums.,Keep
HTML,coach-fogarty-portfolio/index.html:344 :: #mediaOverlay,shared gallery modal,"<div class=""media-overlay"" id=""mediaOverlay"" hidden>",all,Home gallery uses the global media overlay markup.,Keep
HTML,coach-fogarty-portfolio/index.html:345 :: #mediaOverlayBackdrop,modal backdrop,"<button class=""media-overlay-backdrop"" ...>",all,Click target closes modal.,Keep
HTML,coach-fogarty-portfolio/index.html:346 :: #mediaOverlayPanel,modal shell,"<div class=""media-overlay-panel"" ... role=""dialog"" aria-modal=""true"">",all,Dialog container; receives is-gallery-overlay class from JS.,Keep
HTML,coach-fogarty-portfolio/index.html:347-351 :: #mediaOverlayCategory/#mediaOverlayTitle/#mediaOverlayCaption,overlay text nodes,"category, title, caption",all,Populated from selected media album/item.,Keep
HTML,coach-fogarty-portfolio/index.html:352-354 :: #mediaOverlayPrev/#mediaOverlayNext,main image nav buttons,previous and next buttons,all,Large side arrows change the active image.,Keep
HTML,coach-fogarty-portfolio/index.html:355 :: #mediaOverlayImage,main image,"<img ... decoding=""async"">",all,JS controls src/alt/object-position.,Keep
HTML,coach-fogarty-portfolio/index.html:356-360 :: .media-overlay-strip-shell,thumbnail carousel shell,left arrow + strip + right arrow,all,Bottom thumbnail carousel includes arrow buttons on both sides.,Keep
HTML,coach-fogarty-portfolio/media.html:198-215 :: #mediaOverlay duplicate,same overlay shell,same as home overlay,all,Media page shares the same overlay structure and styles.,Keep
HTML,coach-fogarty-portfolio/anaya-case-study.html:388-399 :: #mediaOverlay older duplicate,older overlay shell,strip without .media-overlay-strip-shell,all,Legacy duplicate lacks thumbnail arrow buttons. It may still be affected by shared CSS/JS assumptions.,Archive candidate
JavaScript Data,coach-fogarty-portfolio/app.js:211-573 :: mediaAlbums,gallery source data,6 album objects,all,"Single source for Home Media card order, card thumbnails, overlay titles, captions, category labels, and image arrays.",Keep
JavaScript Data,coach-fogarty-portfolio/app.js:213-248 :: mediaAlbums[0],Leadership in Action,6 items,all,First image is the card thumbnail and opens first in carousel.,Keep
JavaScript Data,coach-fogarty-portfolio/app.js:251-358 :: mediaAlbums[1],Teaching Moments,12 items,all,First image is the card thumbnail and opens first in carousel.,Keep
JavaScript Data,coach-fogarty-portfolio/app.js:361-379 :: mediaAlbums[2],Player Growth,1 item,all,Single-image album; overlay nav buttons should hide/disable naturally via JS.,Keep
JavaScript Data,coach-fogarty-portfolio/app.js:381-408 :: mediaAlbums[3],Program Standards,2 items,all,First image is the card thumbnail and opens first in carousel.,Keep
JavaScript Data,coach-fogarty-portfolio/app.js:410-508 :: mediaAlbums[4],Celebration Moments,10 items,all,Bottom thumbnail strip overflows on desktop and needs arrow/drag support.,Keep
JavaScript Data,coach-fogarty-portfolio/app.js:510-573 :: mediaAlbums[5],Winning Standard,8 items,all,"Magic Elite championship image is at the end of this album, per requested ordering.",Keep
JavaScript Data,coach-fogarty-portfolio/app.js:584-600 :: imageFallbacks,fallback image map,filename-to-fallback map,all,Used when images fail to load. Some entries are unrelated to Home Media but can affect visible output.,Keep
JavaScript Gallery,coach-fogarty-portfolio/app.js:1625-1655 :: renderGallery(),card rendering,button.gallery-card > .gallery-media img + .gallery-card-caption,all,Builds card grid from mediaAlbums. Card image uses first album item as thumbnail.,Keep
JavaScript Gallery,coach-fogarty-portfolio/app.js:1630-1637 :: .gallery-card,card click action,"openMediaAlbum(album.id, 0)",all,Clicking a media card always opens the first image in that album.,Keep
JavaScript Gallery,coach-fogarty-portfolio/app.js:1640-1644 :: .gallery-card image,thumbnail source,album.items[0].src,all,The media card thumbnail is the first image shown in the modal thumbnail carousel.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2105-2131 :: scrollActiveMediaThumbnail(),active thumb centering,scrolls active thumbnail into view,all,Keeps the selected thumbnail visible after main image changes.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2133-2161 :: scrollMediaThumbnails(direction),thumbnail arrow scroll step,first .media-thumb width + CSS gap; wraps at both ends,all,"Current behavior: clicking thumbnail carousel arrows moves one image at a time, not one whole strip/page.",Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2163-2172 :: setActiveMediaItem(),active index update,wraps image index,all,Controls selected image and loops main carousel.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2174-2256 :: renderMediaOverlay(),modal content render,category/title/caption/image/thumbs/nav,all,"Central modal render path. Adds active thumb, image crop variables, and nav visibility.",Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2258-2277 :: openMediaAlbum(),open modal,sets active album/index and locks body scroll,all,Adds is-gallery-overlay class to overlay.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2279-2287 :: closeMediaOverlay(),close modal,hides modal and clears state,all,"Backdrop, close button, and Escape use this behavior.",Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2610-2619 :: #mediaOverlayPrev/#mediaOverlayNext,large image arrows,setActiveMediaItem(activeMediaIndex +/- 1),all,Main carousel arrows move one image at a time.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2621-2627 :: #mediaOverlayThumbPrev/#mediaOverlayThumbNext,thumbnail arrows,scrollMediaThumbnails(-1/+1),all,Bottom thumbnail arrows move one thumbnail at a time in either direction.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2629-2679 :: #mediaOverlayStrip,drag/click behavior,pointer drag scroll + click guard,all,Users can drag thumbnail strip horizontally. Clicks after drag are suppressed.,Keep
JavaScript Overlay,coach-fogarty-portfolio/app.js:2718-2722 :: document keydown,keyboard modal nav,Escape closes modal; arrow keys navigate,all,Keyboard support affects Home Media modal while open.,Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1589-1591 :: .gallery-grid,generic grid,display:grid; 3 equal columns; gap: var(--space-6),all,Generic rule used before Home-specific override.,Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1593-1605 :: .gallery-card,generic card shell,border 0; background transparent; display block; text-align left,all,Provides semantic button reset and hover cursor.,Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1607-1613 :: .gallery-media,generic media frame,aspect-ratio:4/3; overflow:hidden; border-radius:0; background,all,Home-specific block overrides border radius and shadow but keeps aspect ratio.,Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1615-1623 :: .gallery-card img,image fit,width/height 100%; object-fit:cover; object-position vars,all,Crop variables from JS/class rules control thumbnails.,Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1630-1778 :: .gallery-card-* img,album-specific image crop,per-card --gallery-img-pos/scale/translate,all,"Crop rules for sideline, huddle, teaching, oncourt, celebration, and culture cards.",Keep
CSS Base Cards,coach-fogarty-portfolio/styles.css:1780-1821 :: .gallery-card-caption/.gallery-card-title/.gallery-card-arrow,generic caption styles,"padding, color, font sizing, arrow circle",all,Home-specific block overrides several values but generic baseline still applies.,Keep
